,Year,Company Name,Country,GICS Sub-Industry,Industry (Exiobase),Environmental Intensity (Sales),Environmental Intensity (Op Inc),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,SDG 1.5,SDG 2.1,SDG 2.2,SDG 2.3,SDG 2.4,SDG 3.3,SDG 3.4,SDG 3.9,SDG 6,SDG 12.2,SDG 14.1,SDG 14.2,SDG 14.3,SDG 14.c,SDG 15.1,SDG 15.2,SDG 15.5,% Imputed
516,2019,BUDWEISER BREWING CO,CAYMAN ISLANDS,Brewers,Manufacture of beverages,-7.019612415155249,-37.63894122826329,-462095539.7958621,-210087672.9641951,-50971.94118099392,-2783269.843240617,-652655.2713814264,-8915.622660853292,-21847.771987623382,-248493979.21077985,3772.8295644346763,-93747371.79307917,-56130267.187048756,-56101490.17822296,-695817.4608101542,-695817.4608101542,-9070622.581664655,2894441.7126915106,-2153.1267362384183,-248493979.21077985,-21847.771987623382,-140.4501292960502,-28.052545915056605,-25278.227922818423,-167.406660629332,1886.4147822173381,1886.4147822173381,-8773.429719733862,0.017489708158218143
517,2019,MOLSON COORS BEVERAGE CO,UNITED STATES OF AMERICA,Brewers,Manufacture of beverages,-6.596233396492337,-46.52279439656736,-697841915.9485104,-295098629.94322896,-77656.2065778649,-3917869.6609399347,-912631.285761764,-13388.790138121041,-77571.7927975864,-397774521.95094895,30353.681883007368,-131228523.14822303,-82995963.71492471,-82931319.40906614,-979467.4152349837,-979467.4152349837,-13476174.598863313,12633155.498886257,-10362.284654262417,-397774521.95094895,-77571.7927975864,-1113.2083595012125,-326.9881911923119,-37024.56858786532,-1326.8659486666331,15176.840941503684,15176.840941503684,-12261.768244231858,0.05920182959591229
519,2019,COMPANIA CERVECERIAS UNIDAS,CHILE,Brewers,Manufacture of beverages,-6.415653032943711,-54.146660526452386,-155514082.23141864,-59665857.95905207,-13149.956614158948,-693806.7519185283,-160670.13814795995,-56112.8552733071,-65916.00740757145,-94855707.20302096,-2861.3599840731486,-23039332.020297524,-12939465.360963898,-12924629.316369858,-173404.51243886765,-173594.87418605032,-2076689.6013948356,-9185815.75486371,-14211.941859689208,-94855707.20302096,-65916.00740757144,-104.14231666366578,-467.10989761292706,-5751.475432040653,-124.13030554153441,-1430.6799920365743,-55213.36203718336,-2224.738634588436,0.08488230449585726
523,2019,ANHEUSER-BUSCH INBEV,BELGIUM,Brewers,Manufacture of beverages,-3.388736107914868,-11.492976936607372,-1778565879.0144079,-1561185629.8271472,-391750.1919781728,-21049266.104492832,-4847100.498670576,-68825.66171303646,-222519.2488820683,-190914107.09369585,113319.61217188589,-696577419.821286,-429017834.9921452,-428355273.3786341,-5262312.060337611,-5262511.091248906,-69454581.94488855,46663592.445193395,-11693.577522411899,-190914107.09369585,-222519.2488820683,-3914.2910848748425,-325.78913995682717,-190769.42452899873,-4665.559245366182,56659.806085942946,56659.806085942946,-64862.79913294785,0.08019901973611526
526,2019,CARLSBERG A/S,DENMARK,Brewers,Manufacture of beverages,-2.414562695180856,-16.054845572101918,-238814061.85200307,-196208226.07633916,-60262.71249505463,-2577534.134441206,-603326.6264495789,-9768.461303455068,-366663.2716343885,-39026787.74738542,38507.178045261855,-86908178.71887475,-60618119.03660632,-60580317.556135856,-644359.7583457883,-644672.082642316,-9925502.63214095,19938128.46742874,-36341.29832265374,-39026787.74738542,-366663.2716343885,-1480.4494000000002,-288.8443248633442,-27951.868900232294,-1764.5914000000002,19253.589022630928,19132.282417078506,-8148.334757902646,0.029598523384767712
530,2019,HEINEKEN HOLDING NV,NETHERLANDS,Brewers,Manufacture of beverages,-1.898777707281523,-12.419412149582676,-510223728.6823892,-432937056.13824165,-113003.339950651,-5803759.869401453,-1347744.8588228174,-19527.601411627144,-198189.99517098424,-69845759.69564965,41312.81625975655,-193782132.7979845,-122081872.75698915,-121958845.99628659,-1450939.9673503633,-1450939.9673503633,-19812587.02819255,20405069.991297208,-12898.398460154127,-69845759.69564965,-198189.99517098424,-1458.522181873348,-168.76975057790077,-54528.15809931558,-1738.4557005750726,20656.408129878277,20656.408129878277,-18050.98077932179,0.09333625821669571
531,2019,AMBEV SA,BRAZIL,Brewers,Manufacture of beverages,-1.7950212641086802,-6.313838645304849,-234873219.14567906,-136323870.51574948,-43481.6998525992,-1715557.2560827774,-401374.72652635124,-6550.172247402642,-164128.37424519882,-96240142.9348166,21886.53384140184,-57859764.91754487,-40907033.34388712,-40873856.473103724,-428889.31402069435,-428889.31402069435,-6704488.442606121,8758539.888598468,-18400.4055995273,-96240142.9348166,-164128.37424519882,-957.1488482465166,-477.94779875877,-19894.951253377276,-1140.8540042879602,10943.26692070092,10943.26692070092,-5581.146369652337,0.16979609885220937
532,2019,HEINEKEN NV,NETHERLANDS,Brewers,Manufacture of beverages,-1.709847404263225,-10.508373917264668,-459455951.44473636,-433246054.98924166,-113074.00395065102,-5807869.449401452,-1348708.3388228172,-19540.462311627143,-198189.99517098424,-18763827.022096857,41312.81625975655,-193920442.44788653,-122162282.75898914,-122039220.66628657,-1451967.362350363,-1451967.362350363,-19825545.15929055,20405069.991297208,-12898.398460154127,-18763827.022096857,-198189.99517098424,-1458.522181873348,-168.76975057790077,-54563.49009931559,-1738.4557005750726,20656.408129878277,20656.408129878277,-18063.84167932179,0.10185403204534973
534,2019,KIRIN HOLDINGS CO LTD,JAPAN,Brewers,Manufacture of beverages,-1.6274821981877376,-19.221542586222238,-290984361.36439604,-283439344.2381107,-68517.6946425905,-3768856.2027593832,-880454.6833901948,-12208.651075413467,-38407.69401264911,-2788056.3786284397,11484.178223441762,-126472684.77983353,-76073430.96992896,-76024530.72545578,-942214.0506898458,-942214.0506898458,-12297159.65583056,4633906.646534805,-4642.1720910677695,-2788056.3786284397,-38407.69401264911,-443.09225,-111.57280643746451,-33568.85158663906,-528.1347499999999,5742.089111720881,5742.089111720881,-11760.060600413466,0.01280947565560893
535,2019,ASAHI GROUP HOLDINGS LTD,JAPAN,Brewers,Manufacture of beverages,-1.584260293775617,-16.297160142092007,-304813771.74601644,-278095093.14530784,-65206.94917087465,-3688012.491906893,-861421.573078927,-11735.064193862132,-41330.711172380856,-22055861.90084524,4890.089659641904,-123692429.81108522,-72999689.90704256,-72951330.7519248,-922003.1229767232,-922003.1229767232,-11778895.803035228,594157.2666858395,-4995.464550546073,-22055861.90084524,-41330.711172380856,-224.15255000000002,-120.06405372944538,-32158.98590984315,-267.17405,2445.044829820952,2445.044829820952,-11508.130188862133,0.013778843420053196
